date, pm25
2020/4/30, 65
2020/5/1, 52
2020/5/2, 54
2020/5/3, 56
2020/5/4, 47
2020/5/5, 52
2020/5/6, 42
2020/5/7, 37
2020/5/8, 34
2020/5/9, 34
2020/5/10, 38
2020/5/11, 38
2020/5/12, 56
2020/5/13, 54
2020/5/14, 60
2020/5/15, 51
2020/5/16, 56
2020/5/17, 48
2020/5/18, 61
2020/5/19, 51
2020/5/20, 66
2020/5/21, 67
2020/5/22, 67
2020/5/23, 76
2020/5/24, 77
2020/5/25, 74
2020/5/26, 89
2020/5/27, 80
2020/5/28, 80
2020/5/29, 68
2020/5/30, 90
2020/5/31, 77
2020/6/1, 92
2020/6/2, 76
2020/6/3, 88
2020/6/4, 70
2020/6/5, 81
2020/6/6, 62
2020/6/7, 74
2020/6/8, 61
2020/6/9, 64
2020/6/10, 67
2020/6/11, 87
2020/6/12, 70
2020/6/13, 64
2020/6/14, 51
2020/6/15, 62
2020/6/16, 65
2020/6/17, 117
2020/6/18, 86
2020/6/19, 100
2020/6/20, 64
2020/6/21, 63
2020/6/22, 67
2020/6/23, 62
2020/6/24, 72
2020/6/25, 85
2020/6/26, 94
2020/6/27, 51
2020/6/28, 45
2020/6/29, 59
2020/6/30, 108
2020/1/1, 80
2020/1/2, 76
2020/1/3, 91
2020/1/4, 108
2020/1/5, 110
2020/1/6, 127
2020/1/7, 91
2020/1/8, 92
2020/1/9, 111
2020/1/10, 99
2020/1/11, 100
2020/1/12, 107
2020/1/13, 98
2020/1/14, 122
2020/1/15, 117
2020/1/16, 142
2020/1/17, 122
2020/1/18, 121
2020/1/19, 111
2020/1/20, 89
2020/1/21, 90
2020/1/22, 79
2020/1/23, 62
2020/1/24, 66
2020/1/25, 53
2020/1/26, 50
2020/1/27, 52
2020/1/28, 58
2020/1/29, 62
2020/1/30, 70
2020/1/31, 78
2020/2/1, 103
2020/2/2, 110
2020/2/3, 100
2020/2/4, 85
2020/2/5, 83
2020/2/6, 92
2020/2/7, 89
2020/2/8, 114
2020/2/9, 101
2020/2/10, 101
2020/2/11, 85
2020/2/12, 58
2020/2/13, 59
2020/2/14, 62
2020/2/15, 53
2020/2/16, 59
2020/2/17, 79
2020/2/18, 84
2020/2/19, 102
2020/2/20, 117
2020/2/21, 97
2020/2/22, 73
2020/2/23, 69
2020/2/24, 99
2020/2/25, 100
2020/2/26, 89
2020/2/27, 68
2020/2/28, 85
2020/2/29, 74
2020/3/1, 63
2020/3/2, 56
2020/3/3, 55
2020/3/4, 61
2020/3/5, 57
2020/3/6, 62
2020/3/7, 67
2020/3/8, 81
2020/3/9, 81
2020/3/10, 88
2020/3/11, 75
2020/3/12, 59
2020/3/13, 54
2020/3/14, 59
2020/3/15, 56
2020/3/16, 85
2020/3/17, 80
2020/3/18, 77
2020/3/19, 58
2020/3/20, 56
2020/3/21, 60
2020/3/22, 59
2020/3/23, 52
2020/3/24, 55
2020/3/25, 60
2020/3/26, 55
2020/3/27, 53
2020/3/28, 55
2020/3/29, 46
2020/3/30, 52
2020/3/31, 54
2019/10/1, 98
2019/10/2, 99
2019/10/3, 122
2019/10/4, 87
2019/10/5, 68
2019/10/6, 68
2019/10/7, 62
2019/10/8, 78
2019/10/9, 105
2019/10/10, 100
2019/10/11, 76
2019/10/12, 61
2019/10/13, 90
2019/10/14, 73
2019/10/15, 82
2019/10/16, 93
2019/10/17, 108
2019/10/18, 116
2019/10/19, 116
2019/10/20, 106
2019/10/21, 125
2019/10/22, 129
2019/10/23, 91
2019/10/24, 103
2019/10/25, 121
2019/10/26, 105
2019/10/27, 121
2019/10/28, 103
2019/10/29, 99
2019/10/30, 112
2019/10/31, 93
2019/11/1, 100
2019/11/2, 79
2019/11/3, 109
2019/11/4, 113
2019/11/5, 150
2019/11/6, 155
2019/11/7, 157
2019/11/8, 222
2019/11/9, 169
2019/11/10, 163
2019/11/12, 166
2019/11/13, 156
2019/11/15, 111
2019/11/16, 118
2019/11/17, 97
2019/11/18, 82
2019/11/19, 101
2019/11/20, 100
2019/11/21, 129
2019/11/22, 130
2019/11/23, 126
2019/11/24, 110
2019/11/25, 112
2019/11/26, 101
2019/11/27, 86
2019/11/28, 86
2019/11/29, 88
2019/11/30, 88
2019/12/1, 89
2019/12/2, 101
2019/12/3, 111
2019/12/4, 108
2019/12/5, 113
2019/12/6, 70
2019/12/7, 104
2019/12/8, 89
2019/12/9, 96
2019/12/10, 128
2019/12/11, 130
2019/12/12, 122
2019/12/13, 118
2019/12/14, 110
2019/12/15, 87
2019/12/16, 84
2019/12/17, 91
2019/12/18, 96
2019/12/19, 106
2019/12/20, 105
2019/12/21, 103
2019/12/22, 105
2019/12/23, 94
2019/12/24, 91
2019/12/25, 98
2019/12/26, 82
2019/12/27, 107
2019/12/28, 140
2019/12/29, 137
2019/7/1, 68
2019/7/2, 70
2019/7/3, 54
2019/7/4, 54
2019/7/5, 73
2019/7/6, 71
2019/7/9, 76
2019/7/10, 77
2019/7/11, 81
2019/7/12, 80
2019/7/13, 69
2019/7/14, 67
2019/7/15, 75
2019/7/16, 62
2019/7/17, 57
2019/7/18, 52
2019/7/19, 49
2019/7/20, 53
2019/7/21, 71
2019/7/22, 59
2019/7/23, 72
2019/7/24, 64
2019/7/25, 71
2019/7/26, 70
2019/7/27, 70
2019/7/28, 77
2019/7/29, 63
2019/7/30, 75
2019/7/31, 73
2019/8/1, 70
2019/8/2, 56
2019/8/3, 50
2019/8/4, 51
2019/8/5, 62
2019/8/6, 55
2019/8/7, 54
2019/8/8, 55
2019/8/9, 46
2019/8/10, 47
2019/8/11, 57
2019/8/12, 78
2019/8/13, 80
2019/8/14, 74
2019/8/15, 53
2019/8/16, 50
2019/8/17, 77
2019/8/18, 107
2019/8/19, 86
2019/8/20, 65
2019/8/21, 79
2019/8/22, 75
2019/8/23, 66
2019/8/24, 71
2019/8/25, 54
2019/8/26, 55
2019/8/27, 65
2019/8/28, 60
2019/8/29, 55
2019/8/30, 52
2019/8/31, 58
2019/9/1, 63
2019/9/2, 36
2019/9/3, 48
2019/9/4, 55
2019/9/5, 49
2019/9/6, 58
2019/9/7, 69
2019/9/8, 74
2019/9/9, 68
2019/9/10, 80
2019/9/11, 76
2019/9/12, 89
2019/9/13, 76
2019/9/14, 70
2019/9/15, 52
2019/9/16, 57
2019/9/17, 48
2019/9/18, 50
2019/9/19, 73
2019/9/20, 132
2019/9/21, 120
2019/9/22, 126
2019/9/23, 98
2019/9/24, 120
2019/9/25, 94
2019/9/26, 104
2019/9/27, 115
2019/9/28, 118
2019/9/29, 88
2019/9/30, 102
2019/4/1, 70
2019/4/2, 76
2019/4/3, 82
2019/4/4, 77
2019/4/5, 76
2019/4/6, 78
2019/4/7, 69
2019/4/8, 59
2019/4/9, 47
2019/4/10, 35
2019/4/11, 44
2019/4/12, 44
2019/4/13, 47
2019/4/14, 38
2019/4/15, 40
2019/4/16, 57
2019/4/17, 59
2019/4/18, 64
2019/4/19, 14
2019/4/20, 15
2019/4/21, 17
2019/4/22, 38
2019/4/23, 67
2019/4/24, 73
2019/4/25, 75
2019/4/26, 61
2019/4/27, 64
2019/4/28, 74
2019/4/29, 93
2019/4/30, 56
2019/5/1, 64
2019/5/2, 64
2019/5/3, 90
2019/5/4, 66
2019/5/5, 73
2019/5/6, 66
2019/5/7, 69
2019/5/8, 67
2019/5/9, 80
2019/5/10, 87
2019/5/11, 109
2019/5/12, 95
2019/5/13, 73
2019/5/14, 76
2019/5/15, 83
2019/5/16, 67
2019/5/17, 65
2019/5/18, 60
2019/5/19, 56
2019/5/20, 63
2019/5/21, 69
2019/5/22, 82
2019/6/2, 98
2019/6/3, 90
2019/6/4, 97
2019/6/5, 94
2019/6/12, 68
2019/6/13, 73
2019/6/14, 67
2019/6/15, 81
2019/6/23, 40
2019/6/24, 45
2019/6/25, 61
2019/6/26, 68
2019/6/27, 57
2019/6/28, 65
2019/6/29, 72
2019/6/30, 73
2019/1/1, 63
2019/1/2, 76
2019/1/3, 80
2019/1/4, 63
2019/1/5, 69
2019/1/6, 84
2019/1/7, 61
2019/1/8, 91
2019/1/9, 76
2019/1/10, 66
2019/1/11, 87
2019/1/12, 88
2019/1/13, 104
2019/1/14, 99
2019/1/15, 118
2019/1/16, 99
2019/1/17, 86
2019/1/18, 82
2019/1/19, 90
2019/1/20, 107
2019/1/21, 91
2019/1/22, 111
2019/1/23, 114
2019/1/24, 108
2019/1/25, 121
2019/1/26, 115
2019/1/27, 105
2019/1/28, 123
2019/1/29, 104
2019/1/30, 85
2019/1/31, 87
2019/2/1, 94
2019/2/2, 83
2019/2/3, 73
2019/2/4, 63
2019/2/5, 68
2019/2/6, 59
2019/2/7, 57
2019/2/8, 64
2019/2/9, 66
2019/2/10, 59
2019/2/11, 71
2019/2/12, 67
2019/2/13, 75
2019/2/14, 69
2019/2/15, 68
2019/2/16, 67
2019/2/17, 63
2019/2/18, 61
2019/2/19, 69
2019/2/20, 54
2019/2/21, 46
2019/2/22, 46
2019/2/23, 44
2019/2/24, 47
2019/2/25, 51
2019/2/26, 67
2019/2/27, 76
2019/2/28, 63
2019/3/1, 66
2019/3/2, 52
2019/3/3, 56
2019/3/4, 43
2019/3/5, 37
2019/3/6, 44
2019/3/7, 31
2019/3/8, 34
2019/3/9, 23
2019/3/10, 37
2019/3/11, 54
2019/3/12, 52
2019/3/13, 69
2019/3/14, 59
2019/3/15, 78
2019/3/16, 99
2019/3/17, 95
2019/3/18, 76
2019/3/19, 48
2019/3/20, 39
2019/3/21, 36
2019/3/22, 40
2019/3/23, 24
2019/3/26, 57
2019/3/27, 54
2019/3/28, 55
2019/3/29, 51
2019/3/30, 55
2019/3/31, 57
2018/10/1, 84
2018/10/2, 98
2018/10/3, 81
2018/10/4, 59
2018/10/5, 56
2018/10/6, 102
