date, pm25, pm10, o3, no2, so2, co
2020/6/25, 40, 14, 88, 1, 6, 
2020/6/26, 20, 14, 81, , 5, 
2020/6/27, 20, 16, 72, , 5, 
2020/6/28, 23, 15, 77, , 6, 
2020/6/29, 23, 16, 102, , 5, 
2020/6/30, 25, 19, 55, 1, 6, 
2021/4/4, , 65, 16, 11, 7, 
2021/2/28, , 38, 5, 13, 1, 5
2021/1/5, , 96, 39, 15, 76, 4
2020/11/1, , 20, , , , 
2020/11/17, , 26, , , , 1
2020/6/20, , 25, 72, , 5, 
2021/4/1, , , 18, 3, 5, 
2021/4/2, , , 16, 5, 4, 
2021/4/3, , , 13, 7, 5, 
2021/3/17, , , 95, 4, 1, 
2021/3/18, , , 106, 3, 1, 
2021/3/19, , , 113, 4, 1, 
2021/3/20, , , 77, 7, 3, 
2021/3/21, , , 23, 2, 3, 
2021/3/22, , , 35, 4, 14, 
2021/3/23, , , 28, 12, 24, 
2021/3/24, , , 18, 17, 11, 
2021/3/25, , , 22, 7, 1, 
2021/3/26, , , 18, 5, 1, 
2021/1/4, , , 45, 14, 88, 5
2020/10/1, , , 32, 10, 10, 
2020/10/2, , , 21, 10, 9, 
2020/10/3, , , 24, 4, 7, 
2020/10/4, , , 24, 4, 7, 
2020/10/5, , , 20, 2, 10, 
2020/10/6, , , 26, , 9, 
2020/10/7, , , 27, , 9, 
2020/10/8, , , 26, 2, 9, 
2020/10/9, , , 26, 1, 9, 
2020/10/10, , , 30, , 9, 
2020/10/11, , , 32, , 9, 
2020/10/12, , , 38, , 10, 
2020/10/13, , , 35, , 10, 
2020/10/14, , , 21, , 8, 
2020/10/18, , , 18, , 10, 
2020/10/19, , , 20, , 10, 
2020/10/20, , , 24, , 10, 
2020/10/21, , , 31, , 10, 
2020/10/22, , , 37, , 10, 
2020/10/23, , , 43, , 12, 
2020/10/24, , , 64, 11, 12, 
2020/10/25, , , 34, 11, 13, 
2020/10/26, , , 29, 3, 9, 
2020/10/27, , , 35, 9, 12, 
2020/10/28, , , 30, , 10, 
2020/10/29, , , 28, , 9, 
2020/10/30, , , 20, , 10, 
2020/10/31, , , 23, , 10, 
2020/12/13, , , 38, 5, 1, 3
2020/12/14, , , 22, 6, 2, 3
2020/12/15, , , 13, 2, 1, 3
2020/12/16, , , 16, 2, 1, 3
2020/12/17, , , 20, 2, 1, 2
2020/12/18, , , 17, 3, 1, 2
2020/12/19, , , 25, 3, 2, 
2020/12/21, , , 34, 12, 5, 
2020/12/22, , , 46, 14, 5, 3
2020/12/23, , , 30, 14, 5, 3
2020/12/24, , , 35, 7, 29, 4
2020/12/25, , , 33, 15, 85, 4
2020/12/26, , , 25, 18, 83, 4
2020/12/27, , , 12, 23, 75, 3
2020/12/28, , , 25, 9, 67, 2
2020/12/29, , , 32, 7, 66, 4
2020/12/30, , , 28, 4, 68, 2
2020/12/31, , , 36, 7, 85, 3
2021/1/1, , , 43, 11, 85, 4
2021/1/2, , , 67, 12, 81, 4
2021/1/3, , , 28, 15, 96, 
2020/7/11, , , 72, 1, 6, 
2020/7/12, , , 51, , 6, 
2020/7/13, , , 87, 1, 6, 
2020/7/14, , , 48, , 6, 
2020/7/15, , , 50, , 6, 
2020/7/16, , , 70, , 6, 
2020/7/17, , , 83, 1, 6, 
2020/7/18, , , 58, , 6, 
