date, pm25, pm10, o3, no2, so2, co
2020/9/19, 12, 12, 10, 8, , 
2020/9/20, 21, 16, 13, 9, , 
2020/9/21, 31, 14, 17, 12, , 
2020/9/22, 26, 16, 18, 8, , 
2020/9/23, 31, 5, 18, 9, , 
2020/9/24, 9, 13, 13, 7, , 
2020/9/25, 23, 10, 21, 9, , 
2020/9/26, 18, 8, 22, 5, , 
2020/9/27, 16, 13, 14, 5, , 
2020/9/28, 24, 18, 17, 10, , 
2020/9/29, 32, 16, 20, 12, , 
2020/9/30, 28, 10, 21, 13, , 
2020/4/1, 44, 23, 16, 13, , 4
2020/4/2, 46, 13, 23, 11, , 3
2020/4/3, 26, 11, 15, 9, , 3
2020/4/4, 20, 13, 15, 7, , 3
2020/4/5, 25, 17, 17, 9, , 3
2020/4/6, 31, 27, 19, 11, , 4
2020/4/7, 49, 36, 18, 16, , 5
2020/4/8, 67, 34, 27, 11, , 4
2020/4/9, 64, 34, 41, 11, , 3
2020/4/10, 67, 35, 49, 10, , 3
2020/4/11, 67, 21, 31, 10, , 3
2020/4/12, 40, 20, 17, 10, , 3
2020/4/13, 38, 27, 28, 10, , 3
2020/4/14, 49, 35, 39, 11, , 3
2020/4/15, 64, 36, 38, 10, , 2
2020/4/16, 68, 21, 48, 9, , 2
2020/4/17, 42, 22, 76, 10, , 2
2020/4/18, 40, 23, 86, 8, , 1
2020/4/19, 44, 21, 114, 8, , 1
2020/4/20, 39, 25, 80, 10, , 2
2020/4/21, 45, 15, 73, 9, , 1
2020/4/22, 28, 10, 23, 9, , 2
2020/4/23, 20, 14, 20, 9, , 3
2020/4/24, 26, 15, 20, 6, , 2
2020/4/25, 30, 17, 17, 7, , 2
2020/4/26, 31, 21, 23, 11, , 3
2020/4/27, 36, 37, 37, 17, , 4
2020/4/28, 58, 44, 69, 14, , 4
2020/4/29, 75, 33, 49, 11, , 2
2020/4/30, 58, 22, 35, 11, , 2
2020/5/1, 40, 20, 42, 8, , 3
2020/5/2, 36, 19, 65, 10, , 1
2020/5/3, 34, 20, 84, 11, , 1
2020/5/4, 35, 21, 92, 7, , 1
2020/5/5, 37, 19, 80, 8, , 1
2020/5/6, 33, 20, 104, 7, , 1
2020/5/7, 33, 19, 88, 7, , 1
2020/5/8, 33, 15, 91, 9, , 2
2020/5/9, 25, 16, 48, 11, , 2
2020/5/10, 25, 19, 88, 7, , 1
2020/5/11, 34, 18, 93, 11, , 3
2020/5/12, 31, 14, 40, 9, , 2
2020/5/13, 25, 12, 35, 10, , 2
2020/5/14, 20, 16, 74, 10, , 1
2020/5/15, 28, 16, 44, 10, , 1
2020/5/16, 26, 17, 59, 7, , 1
